,me_change
0,8194393.0
1,7932815.5
2,7663926.0
3,7468233.5
4,7339112.0
5,7215663.0
6,7080410.5
7,6954953.0
8,6850849.5
9,6757537.5
10,6651554.0
11,6569287.5
12,6504417.0
13,6481447.0
14,6514859.5
15,6520198.5
16,6515426.5
17,6507082.0
18,6497551.0
19,6485881.0
20,6469422.0
21,6451710.0
22,6433746.5
23,6415988.5
24,6392181.5
25,6357599.5
26,6313391.0
27,6254620.5
28,6185508.5
29,6108257.5
30,6027430.5
31,5952295.0
32,5898673.0
33,5869482.5
34,5859588.5
35,5861777.0
36,5844592.0
37,5819075.5
38,5786075.5
39,5698759.5
40,5614283.5
41,5560222.5
42,5495684.5
43,5426554.5
44,5358615.5
45,5296676.5
46,5096096.0
47,4979275.5
48,4926426.5
49,4944886.0
50,4975352.0
51,4996746.5
52,5012718.0
53,5032712.5
54,5050546.5
55,5061134.5
56,5062694.5
57,5055416.0
58,5040887.0
59,5021345.0
60,4999607.0
61,4978123.5
62,4961553.5
63,4947741.0
64,4932123.5
65,4913576.5
66,4890447.0
67,4866651.5
68,4843143.5
69,4825131.5
70,4829080.5
71,4831994.5
72,4833324.5
73,4831906.0
74,4827518.0
75,4817648.5
76,4804009.0
77,4789287.5
78,4774443.0
79,4761274.0
80,4757645.0
81,4757944.0
82,4755866.0
83,4751941.5
84,4746231.5
85,4739177.5
86,4730694.5
87,4721167.0
88,4711130.5
89,4700884.0
90,4698456.0
91,4698184.5
92,4695008.5
93,4689069.5
94,4680617.5
95,4670004.0
96,4666252.5
97,4663766.0
98,4660687.0
99,4656675.0
100,4651651.0
101,4645704.5
102,4639013.5
103,4631865.0
104,4624699.5
105,4617892.0
106,4617955.5
107,4615356.5
108,4609968.0
109,4602136.0
110,4594049.0
111,4590887.0
112,4587310.5
113,4582979.5
114,4577893.0
115,4571906.5
116,4565072.5
117,4560838.5
118,4557517.0
119,4551894.0
120,4545395.0
121,4541708.5
122,4537188.5
123,4531889.0
124,4527443.0
125,4522771.5
126,4518065.0
127,4513907.0
128,4508982.5
129,4503903.0
130,4499246.0
131,4494697.5
132,4490730.0
133,4486372.5
134,4481360.5
135,4477081.5
136,4472196.0
137,4468384.5
138,4464534.0
139,4460059.5
140,4454889.5
141,4450427.0
142,4446040.0
143,4441915.5
144,4438245.0
145,4433790.5
146,4428709.5
147,4427395.0
148,4423449.0
149,4417018.5
150,4414879.0
151,4412504.5
152,4409043.5
153,4405155.0
154,4400902.5
155,4396237.5
156,4391314.5
157,4386273.5
158,4383207.0
159,4379296.5
160,4375963.5
161,4372291.0
162,4368329.0
163,4365021.0
164,4360128.5
165,4355996.5
166,4352687.5
167,4348887.5
168,4344442.0
169,4339420.0
170,4337377.5
171,4333575.5
172,4330169.5
173,4328093.0
174,4325828.5
175,4323251.5
176,4320385.0
177,4317473.0
178,4314314.5
179,4313167.0
180,4311004.5
181,4306771.5
182,4304561.5
183,4302151.5
184,4299900.5
185,4297343.5
186,4295068.5
187,4292203.0
188,4290975.5
189,4289161.5
190,4286420.5
191,4282917.5
192,4281401.5
193,4279569.0
194,4276277.0
195,4272418.0
196,4270313.0
197,4267101.5
198,4265893.5
199,4263581.5
200,4259654.0
201,4258685.5
202,4257368.5
203,4254628.0
204,4250686.5
205,4245426.5
206,4245469.0
207,4244022.5
208,4240692.5
209,4235853.0
210,4230089.5
211,4226048.0
212,4223777.0
213,4218796.0
214,4212149.5
215,4208198.0
216,4203951.0
217,4199407.0
218,4194784.0
219,4191448.75
220,4187323.75
221,4182437.5
222,4179225.0
223,4174410.5
224,4170353.0
225,4166894.25
226,4162712.75
227,4157913.5
228,4152614.0
229,4149893.75
230,4145313.75
231,4139470.25
232,4135721.25
233,4131392.75
234,4126536.75
235,4121246.5
236,4119016.5
237,4114085.75
238,4108298.75
239,4104693.0
240,4100508.75
241,4095837.75
242,4090698.25
243,4087824.75
244,4082919.5
245,4078198.5
246,4074715.5
247,4070601.0
248,4065939.25
249,4060902.25
250,4055787.75
251,4053067.25
252,4047569.75
253,4043493.75
254,4040220.0
255,4036573.75
256,4032595.25
257,4028283.25
258,4023703.25
259,4018959.5
260,4014080.25
261,4009002.75
262,4009097.75
263,4004907.0
264,3996562.0
265,3993156.0
266,3989149.75
267,3984729.0
268,3980019.5
269,3975207.5
270,3973423.75
271,3967671.5
272,3963689.25
273,3960383.5
274,3956767.75
275,3952888.25
276,3948788.0
277,3944349.5
278,3939696.75
279,3934899.25
280,3929974.5
281,3925087.75
282,3920848.75
283,3916223.0
284,3911899.25
285,3907613.25
286,3903247.75
287,3898798.25
288,3895319.75
289,3890515.25
290,3886043.0
291,3880588.75
292,3874841.0
293,3868800.5
294,3862532.75
295,3856204.0
296,3849871.75
297,3843572.5
298,3837320.75
299,3830825.0
300,3824249.75
301,3817705.5
302,3811518.25
303,3805369.0
304,3799243.25
305,3793145.5
306,3787073.0
307,3781014.5
308,3775014.25
309,3769005.75
310,3763420.25
311,3756718.25
312,3750508.5
313,3744043.5
314,3737184.5
315,3729468.5
316,3721168.75
317,3713051.25
318,3706224.75
319,3700077.0
320,3693839.25
321,3686106.75
322,3677424.25
323,3668233.75
324,3658818.0
325,3649454.75
326,3639948.75
327,3630192.5
328,3620623.0
329,3611259.75
330,3602432.5
331,3594052.75
332,3585402.25
333,3576873.25
334,3568564.0
335,3560549.5
336,3552572.75
337,3544740.25
338,3537463.25
339,3529638.75
340,3521303.0
341,3513490.75
342,3505677.25
343,3497747.75
344,3490015.75
345,3482378.25
346,3474455.5
347,3466445.25
348,3458553.5
349,3450650.0
350,3442716.0
351,3434782.0
352,3426881.5
353,3418997.5
354,3411140.75
355,3403222.75
356,3395563.0
357,3387989.5
358,3380617.0
359,3374035.75
360,3367510.0
361,3360866.75
362,3354024.0
363,3347060.5
364,3340061.75
365,3333471.0
366,3327108.0
367,3320724.5
368,3314188.0
369,3307422.25
370,3301752.5
371,3295569.0
372,3290455.0
373,3285114.75
374,3279477.0
375,3273424.0
376,3266674.5
377,3259321.75
378,3251552.75
379,3243316.75
380,3236206.75
381,3239753.5
382,3224488.0
383,3219431.25
384,3214917.75
385,3209879.0
386,3203948.0
387,3197117.75
388,3189650.25
389,3182759.25
390,3178858.75
391,3171387.0
392,3166615.25
393,3161607.25
394,3156164.25
395,3149806.75
396,3142903.25
397,3136090.0
398,3135589.0
399,3125591.0
400,3121206.5
401,3116673.0
402,3110584.75
403,3104565.0
404,3098499.0
405,3094093.0
406,3087528.0
407,3082655.75
408,3076484.0
409,3070427.25
410,3064015.25
411,3059091.0
412,3053433.25
413,3049041.25
414,3043929.25
415,3037939.5
416,3031019.0
417,3026850.75
418,3018876.5
419,3013311.0
420,3006986.25
421,3001174.75
422,2996561.25
423,2991114.0
424,2984378.0
425,2977342.75
426,2972936.5
427,2967547.5
428,2960572.5
429,2956414.25
430,2947618.0
431,2941703.75
432,2938942.25
433,2934456.0
434,2927666.5
435,2916646.25
436,2909073.25
437,2899058.25
438,2885791.0
439,2878003.5
440,2868955.25
441,2865089.75
442,2850573.75
443,2842484.0
444,2834702.75
